id,code,description
019c0cd2-374d-789f-bd3c-b9509330b997,USER_VIEW,Xem danh sách user
019c0cd2-3750-7d95-b0c2-88b64df6a947,USER_CREATE,Tạo user
019c0cd2-3750-7ead-8cb0-3a8eee5611b0,USER_UPDATE,Cập nhật user
019c0cd2-3750-7f3e-91a8-49344f152322,USER_DELETE,Xoá user
019c0cd2-3750-7fc5-86b4-7a3f77bd5a54,ROLE_VIEW,Xem role
019c0cd2-3751-7049-8687-cca003aa2cb7,ROLE_CREATE,Tạo role
019c0cd2-3751-70ca-be57-f52d9c310b4e,ROLE_UPDATE,Cập nhật role
019c0cd2-3751-7176-8e97-ca2def7481ea,ROLE_DELETE,Xoá role
019c0cd2-3751-7221-8563-f8aad7915c4b,CHEMICAL_VIEW,Xem nguyên liệu
019c0cd2-3751-7463-88cb-51f4e3a2c1eb,CHEMICAL_CREATE,Tạo nguyên liệu
019c0cd2-3751-753f-991d-fbe57deebd42,CHEMICAL_UPDATE,Cập nhật nguyên liệu
019c0cd2-3751-75d0-b385-03d435af7008,CHEMICAL_DELETE,Xoá nguyên liệu
019c0cd2-3751-7658-aece-520f74c19b71,ORDER_VIEW,Xem đơn nhập
019c0cd2-3751-76d8-b73a-e982e0099c30,ORDER_CREATE,Tạo đơn nhập
019c0cd2-3751-775c-a8c4-c2e86049f732,ORDER_UPDATE,Cập nhật đơn nhập
019c0cd2-3751-77e4-bdce-e9337c242887,ORDER_CANCEL,Huỷ đơn nhập
019c0cd2-3751-7860-8b85-9c86c6e5bf01,RECEIPT_VIEW,Xem phiếu nhận
019c0cd2-3751-78e6-9614-03f6ac611fe3,RECEIPT_CREATE,Tạo phiếu nhận
019ea1e1-6cea-78cd-89b2-6c5cfc2fd6d9,LOCATION_VIEW,Xem kho
019ea1e1-6cea-7e45-a91b-51d184281607,LOCATION_CREATE,Tạo kho
019ea1e1-6cea-7e94-824d-956f0d1c3da1,LOCATION_UPDATE,Cập nhật kho
019ea1e1-6cea-7ec6-ab78-a644bce755ae,LOCATION_DELETE,Xóa kho
019ea1e1-6cea-7ef9-aa58-71dcd7b62a3c,ZONE_VIEW,Xem khu vực kho
019ea1e1-6cea-7f20-af93-31fcb795338e,ZONE_CREATE,Tạo khu vực kho
019ea1e1-6cea-7f49-93f2-3e66e95469c6,ZONE_UPDATE,Cập nhật khu vực kho
019ea1e1-6cea-7f73-b2e9-11d946fc6a9b,ZONE_DELETE,Xóa khu vực kho
019ea1e1-6cea-7f9d-b91d-19bd05f8382f,BIN_VIEW,Xem kệ lưu trữ
019ea1e1-6cea-7fcf-8d7e-0377df89f282,BIN_CREATE,Tạo kệ lưu trữ
019ea1e1-6cea-7ff9-a26e-143326aeedc7,BIN_UPDATE,Cập nhật kệ lưu trữ
019ea1e1-6ceb-7021-a173-8bb2f0f00189,BIN_DELETE,Xóa kệ lưu trữ
